Link,Headword,Frequency,Description
https://www.oxfordreference.com/display/10.1093/acref/9780190245115.001.0001/acref-9780190245115-e-1?rskey=NLeUM0&result=1,Aaberg,469,"1 Norwegian and Danish (also Åberg): habitational name from a place so named, meaning ‘(on) the hill by the stream’, from å (old spelling aa) ‘stream, small river’ + berg ‘mountain, hill’. Compare Aberg 2 and Oberg 1.
2 Altered form of Swedish Åberg (see Aberg 1), a cognate of 1 above."
https://www.oxfordreference.com/display/10.1093/acref/9780190245115.001.0001/acref-9780190245115-e-2?rskey=NLeUM0&result=2,Aaby,220,"Norwegian and Danish (also Åby): habitational name from a place called Aaby or Åby, from å (old spelling aa) ‘stream, small river’ + Old Norse býr ‘farm’. In Norway this is a farm name in five places."
https://www.oxfordreference.com/display/10.1093/acref/9780190245115.001.0001/acref-9780190245115-e-3?rskey=NLeUM0&result=3,Aadland,374,"Norwegian (also Ådland): habitational name from a place called Ådland, from Old Norse Árland, a compound of á ‘small river’ (or another first element of uncertain origin) + land ‘(piece of) land, farmstead’. Compare Odland.
Some characteristic forenames: Scandinavian Anders, Lars, Oyvind."
https://www.oxfordreference.com/display/10.1093/acref/9780190245115.001.0001/acref-9780190245115-e-4?rskey=NLeUM0&result=4,Aagaard,300,"Danish; Norwegian (also Ågård): habitational name meaning ‘farm by a stream’, a compound of å (old spelling aa) ‘stream, small river’ and gård (old spelling gaard) ‘farm’. Compare Aagard and Agard.
Some characteristic forenames: Scandinavian Aase, Erik, Knut, Morten."
https://www.oxfordreference.com/display/10.1093/acref/9780190245115.001.0001/acref-9780190245115-e-5?rskey=NLeUM0&result=5,Aagard,347,Altered form of Danish and Norwegian Aagaard or Ågård (see Agard).
https://www.oxfordreference.com/display/10.1093/acref/9780190245115.001.0001/acref-9780190245115-e-6?rskey=NLeUM0&result=6,Aaker,358,"1 Norwegian (also Åker): topographic name from åker ‘plowed field’. Compare Aker.
2 Altered form of Swedish Åker (see Aker), a cognate of 1 above.
Some characteristic forenames: Scandinavian Erik, Ove, Sig."
https://www.oxfordreference.com/display/10.1093/acref/9780190245115.001.0001/acref-9780190245115-e-7?rskey=NLeUM0&result=7,Aakre,371,"Norwegian (also Åkre): habitational name from any of several places so named, from an inflected form of Old Norse akr ‘plowed field’. Compare Akre.
Some characteristic forenames: Scandinavian Hjalmer, Knute, Nels, Obert, Selmer, Steinar."
https://www.oxfordreference.com/display/10.1093/acref/9780190245115.001.0001/acref-9780190245115-e-8?rskey=NLeUM0&result=8,Aalbers,196,"Dutch: variant of Albers.
Some characteristic forenames: Dutch Geert, Gradus, Marinus."
https://www.oxfordreference.com/display/10.1093/acref/9780190245115.001.0001/acref-9780190245115-e-9?rskey=NLeUM0&result=9,Aalderink,111,"Dutch: habitational name from any of several farmhouses named Aalderink (originally Alardinck), located in the eastern Netherlands in the villages of Laren, Lenthe, Zelhem, Hertme, Breklenkamp and Warken, once belonging to a certain Alard and his kin. The personal name Alard is from the ancient Germanic personal name Adelhard, composed of the elements adel ‘noble’ and hard ‘hardy’. Compare Alderink."
https://www.oxfordreference.com/display/10.1093/acref/9780190245115.001.0001/acref-9780190245115-e-10?rskey=NLeUM0&result=10,Aalto,258,"Finnish: ornamental name from aalto ‘wave’, adopted in the late 19th and early 20th centuries in western and southern Finland (compare Laine 4). Compare also Alto.
Some characteristic forenames: Finnish Tauno, Ensio, Pentti, Reino, Sulo, Tarmo, Wilho. Scandinavian Hilma, Johan."
